iter	Passed	Remaining
0	1	1484
1	3	1733
2	5	1662
3	6	1723
4	8	1707
5	10	1672
6	11	1685
7	13	1704
8	15	1706
9	16	1678
10	18	1666
11	20	1652
12	21	1660
13	23	1663
14	25	1664
15	26	1659
16	28	1655
17	30	1653
18	31	1650
19	33	1662
20	35	1657
21	37	1665
22	38	1654
23	40	1660
24	42	1654
25	44	1654
26	45	1648
27	47	1648
28	49	1646
29	50	1636
30	51	1621
31	53	1617
32	55	1616
33	56	1617
34	58	1614
35	60	1616
36	62	1621
37	64	1627
38	66	1626
39	67	1617
40	68	1612
41	70	1608
42	71	1601
43	73	1592
44	74	1585
45	76	1578
46	77	1577
47	79	1570
48	80	1560
49	81	1551
50	82	1542
51	84	1537
52	85	1534
53	87	1527
54	88	1521
55	89	1513
56	90	1504
57	92	1497
58	93	1491
59	94	1482
60	95	1473
61	96	1466
62	98	1461
63	99	1456
64	100	1450
65	102	1445
66	103	1440
67	104	1435
68	105	1429
69	107	1421
70	108	1415
71	109	1410
72	110	1406
73	112	1402
74	113	1394
75	114	1388
76	115	1380
77	116	1372
78	117	1365
79	118	1358
80	119	1354
81	120	1348
82	120	1336
83	121	1329
84	122	1323
85	124	1317
86	125	1313
87	126	1311
88	127	1306
89	128	1300
90	129	1293
91	130	1287
92	131	1282
93	132	1278
94	133	1274
95	135	1273
96	136	1268
97	137	1265
98	138	1261
99	139	1259
100	140	1253
101	141	1250
102	143	1245
103	144	1241
104	144	1235
105	145	1229
106	146	1225
107	147	1220
108	148	1215
109	149	1210
110	150	1205
111	151	1199
112	152	1193
113	152	1188
114	153	1183
115	154	1177
116	155	1170
117	155	1164
118	156	1159
119	157	1154
120	158	1149
121	158	1142
122	159	1137
123	160	1132
124	161	1128
125	162	1124
126	162	1119
127	163	1113
128	164	1108
129	164	1103
130	165	1098
131	166	1092
132	166	1087
133	167	1082
134	168	1077
135	168	1072
136	169	1067
137	170	1063
138	170	1059
139	171	1054
140	172	1049
141	172	1043
142	173	1038
143	173	1033
144	174	1029
145	175	1025
146	175	1020
147	176	1016
148	177	1012
149	178	1011
150	179	1007
151	179	1003
152	180	1000
153	181	996
154	182	993
155	183	990
156	183	987
157	184	983
158	185	981
159	186	980
160	187	975
161	187	972
162	188	969
163	189	966
164	190	963
165	191	960
166	192	958
167	193	956
168	194	954
169	195	953
170	196	952
171	197	951
172	198	950
173	199	948
174	200	947
175	201	944
176	202	942
177	203	940
178	204	937
179	205	935
180	206	932
181	207	931
182	208	929
183	209	927
184	209	924
185	210	922
186	211	920
187	212	919
188	213	917
189	214	915
190	215	914
191	216	912
192	217	909
193	218	907
194	219	904
195	219	902
196	220	899
197	221	897
198	222	894
199	222	891
200	223	889
201	224	886
202	225	883
203	225	881
204	226	879
205	227	876
206	228	873
207	228	871
208	229	868
209	230	865
210	230	863
211	231	860
212	232	857
213	232	854
214	233	852
215	234	850
216	234	847
217	235	845
218	236	843
219	237	841
220	238	840
221	239	838
222	240	836
223	240	833
224	241	831
225	242	829
226	242	826
227	243	824
228	244	822
229	244	820
230	245	817
231	246	815
232	247	813
233	247	811
234	248	809
235	249	807
236	250	805
237	250	803
238	251	801
239	252	799
240	253	797
241	253	794
242	254	792
243	255	790
244	255	787
245	256	785
246	257	783
247	257	781
248	258	779
249	259	777
250	259	775
251	260	773
252	261	771
253	262	770
254	262	768
255	263	766
256	264	764
257	265	763
258	266	761
259	267	760
260	267	757
261	268	755
262	269	753
263	269	751
264	270	749
265	270	747
266	271	745
267	272	744
268	273	742
269	273	740
270	274	738
271	275	736
272	275	734
273	276	732
274	277	731
275	278	729
276	278	727
277	279	725
278	280	724
279	281	722
280	281	720
281	282	718
282	283	717
283	283	715
284	284	713
285	285	711
286	285	710
287	286	708
288	287	706
289	288	705
290	288	703
291	289	701
292	290	700
293	290	698
294	291	696
295	292	694
296	292	692
297	293	691
298	294	689
299	295	688
300	295	686
301	296	684
302	297	683
303	297	681
304	298	679
305	299	678
306	299	676
307	300	674
308	301	673
309	301	671
310	302	670
311	303	668
312	303	666
313	304	665
314	305	663
315	305	662
316	306	661
317	307	659
318	308	658
319	309	656
320	309	655
321	310	653
322	311	652
323	312	651
324	313	650
325	314	649
326	314	647
327	315	646
328	316	645
329	317	643
